0	    0,012	0,024	0,036	0,048	0,06	0,072	0,085	0,097	0,109
0,121	0,134	0,146	0,158	0,171	0,183	0,196	0,208	0,221	0,233
0,246	0,258	0,271	0,284	0,296	0,309	0,322	0,335	0,348	0,36
0,373	0,386	0,399	0,412	0,425	0,438	0,451	0,464	0,477	0,49
0,504	0,517	0,53	0,543	0,556	0,57	0,583	0,596	0,61	0,623
0,637	0,65	0,663	0,677	0,69	0,704	0,718	0,731	0,745	0,758
0,772	0,786	0,799	0,813	0,827	0,841	0,855	0,868	0,882	0,896
0,91	0,924	0,938	0,952	0,966	0,98	0,994	1,008	1,022	1,036
1,05	1,064	1,079	1,093	1,107	1,121	1,135	1,15	1,164	1,178
1,193	1,207	1,221	3,236	1,25	1,265	1,279	3,293	3,308	1,322
1,337	1,352	1,366	1,381	1,395	1,41	1,425	1,439	1,454	1,469
1,483	1,498	1,513	1,528	1,542	1,557	1,572	1,587	1,602	1,617
1,632	1,646	1,661	1,676	1,691	1,706	1,721	1,736	1,751	1,766
1,781	1,796	1,812	1,827	1,842	1,857	1,872	1,887	1,902	1,918
1,933	1,948	1,963	1,979	1,994	2,009	2,025	2,04	2,055	2,071
2,086	2,101	2,117	2,132	2,148	2,163	2,178	2,194	2,209	2,225
2,24	2,256	2,272	2,287	2,303	2,318	2,334	2,349	2,365	2,381
2,396	2,412	2,428	2,443	2,459	2,475	2,49	2,506	2,522	2,538
2,553	2,569	2,585	2,601	2,617	2,632	2,648	2,664	2,68	2,696
2,712	2,728	2,743	2,759	2,775	2,791	2,807	2,823	2,839	2,855
2,871	2,887	2,903	2,919	2,935	2,951	2,967	2,983	2,999	3,015
3,032	3,048	3,064	3,08	3,096	3,112	3,128	3,144	3,161	3,177
3,193	3,209	3,225	3,242	3,258	3,274	3,29	3,306	3,323	3,339
3,355	3,372	3,388	3,404	3,42	3,437	3,453	3,469	3,486	3,502
3,518	3,535	3,551	3,568	3,584	3,6	    3,617	3,633	3,65	3,666
3,682	3,699	3,715	3,732	3,748	3,765	3,781	3,798	3,814	3,831
3,847	3,864	3,88	3,897	3,913	3,93	3,946	3,963	3,979	3,996
4,012	4,029	4,046	4,062	4,079	4,095	4,112	4,129	4,145	4,162
4,178	4,195	4,212	4,228	4,245	4,262	4,278	4,295	4,312	4,328
4,345	4,362	4,378	4,395	4,412	4,428	4,445	4,462	4,479	4,495
4,512	4,529	4,545	4,562	4,579	4,596	4,612	4,629	4,646	4,663
4,68	4,696	4,713	4,73	4,747	4,763	4,78	4,797	4,814	4,831
4,848	4,864	4,881	4,898	4,915	4,932	4,949	4,965	4,982	4,999
5,016	5,033	5,05	5,067	5,083	5,1	    5,117	5,134	5,151	5,168
5,185	5,202	5,218	5,235	5,252	5,269	5,286	5,303	5,32	5,337
5,354	5,371	5,388	5,404	5,421	5,438	5,455	5,472	5,489	5,506
5,523	5,54	5,557	5,574	5,591	5,608	5,625	5,642	5,659	5,676
5,693	5,71	5,727	5,744	5,761	5,778	5,794	5,811	5,828	5,845
5,862	5,879	5,896	5,913	5,93	5,947	5,964	5,981	5,998	6,015
6,032	6,049	6,066	6,083	6,1	    6,117	6,135	6,152	6,169	6,186
6,203	6,22	6,237	6,254	6,271	6,288	6,305	6,322	6,339	6,356
6,373	6,39	6,407	6,424	6,441	6,458	6,475	6,492	6,509	6,526
6,543	6,56	6,577	6,594	6,611	6,628	6,646	6,663	6,68	6,697
6,714	6,731	6,748	6,765	6,782	6,799	6,816	6,833	6,85	6,867
6,884	6,901	6,918	6,935	6,952	6,97	6,987	7,004	7,021	7,038
7,055	7,072	7,089	7,106	7,123	7,14	7,157	7,174	7,191	7,208
7,225	1,242	7,26	7,277	7,294	7,311	7,328	7,345	7,362	7,379
7,396	7,413	7,43	7,447	7,464	7,481	7,498	7,515	7,532	7,549
7,567	7,584	7,601	7,618	7,635	7,652	7,669	7,686	7,703	7,72
7,737	7,754	7,771	7,788	7,805	7,822	7,839	7,856	7,873	7,89
7,908	7,925	7,924	7,959	7,976	7,993	8,01	8,027	8,044	8,061
8,078	8,095	8,112	8,129	8,146	8,163	8,18	8,197	8,214	8,231
8,248	8,265	8,282	8,299	8,316	8,333	8,35	8,367	8,384	8,401
8,418	8,435	8,452	8,469	8,486	8,503	8,52	8,537	8,554	8,571
8,588	8,605	8,622	8,839	8,656	8,673	8,69	8,707	8,724	8,741
8,758	8,775	8,792	8,809	8,826	8,843	8,86	8,877	8,894	8,911
8,928	8,945	8,962	8,979	8,996	9,013	9,03	9,047	9,064	9,081
9,098	9,115	9,132	9,149	9,165	9,182	9,199	9,216	9,233	9,25
9,267	9,284	9,301	9,318	9,335	9,352	9,369	9,386	9,403	9,419
9,436	9,453	9,47	9,487	9,504	9,521	9,538	9,555	9,572	9,589
9,605	9,622	9,639	9,656	9,673	9,69	9,707	9,724	9,741	9,757
